#-------------------------------------------
# Food Diary Report - Detailed Report,"суббота, августа 1, 2026","понедельник, августа 31, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,3530,"107,5","431,5","197,51"
Завтрак,810,"33,3","91,78","33,94"
Обед,1103,"29,33","124,35","78,57"
Ужин,1616,"44,87","215,37",85
Перекус/Другое,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Новый Продукт Хлеб Пшеничный,361,"1,31",,"73,58",,,"11,68",,,
   146 г
 Обед,1001,"25,13","3,422","112,8",0,0,"74,13",162,144,635
  Макфа Макароны Спирали,547,"2,08",,"112,8",,,"16,64",,,
   160 г
  Куриное Филе,274,"3,09","0,822",0,0,0,"57,49",162,144,635
   249 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
 Ужин,1777,"51,81","0,822","216,5",16,0,"106,36",162,144,860
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Фругурт Питьевой Йогурт,580,"8,65",,"103,8",,,"22,49",,,
   865 г
  Сарепта Горчичное Масло,180,"19,96",,0,,,0,,,
   20 г
  Куриное Филе,274,"3,09","0,822",0,0,0,"57,49",162,144,635
   249 г
  Макфа Греча Ядрица,560,4,,"108,8",16,,"20,8",,,
   160 г
 Перекус/Другое,,,,,,,,,,

"вторник, августа 4, 2026",3532,"108,65","4,994","418,68","26,46","14,64","208,41",308,274,1433
 Завтрак,722,"31,91",,"76,7","1,65","1,65","30,11",,,
  Vicenta Арахисовая Паста с Кусочками Арахиса,196,"16,93",,"4,12","1,65","1,65","6,83",,,
   33 г
  Моя Цена Сыр Российский Настоящий,170,"13,68",,0,,,"11,76",,,
   48 г
  Новый Продукт Хлеб Пшеничный,356,"1,3",,"72,58",,,"11,52",,,
   144 г
 Обед,1076,"32,48","3,382","115,72",0,0,"73,46",154,137,604
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Макароны Спирали,547,"2,08",,"112,8",,,"16,64",,,
   160 г
  Куриное Филе,261,"2,94","0,782",0,0,0,"54,72",154,137,604
   237 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
 Ужин,1734,"44,26","1,612","226,26","24,81","12,99","104,84",154,137,829
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,96,"0,11","0,11","23,54","2,81","12,96","1,62",,,
   108 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Греча Ядрица,560,4,,"108,8",16,,"20,8",,,
   160 г
  Куриное Филе,261,"2,94","0,782",0,0,0,"54,72",154,137,604
   237 г
 Перекус/Другое,,,,,,,,,,

"среда, августа 5, 2026",3523,"113,46","5,204","414,15","29,6","28,44","200,68","308,03",274,"1475,8"
 Завтрак,632,"36,33","0,2","55,48","3,45","13,89","19,84","0,03",,"42,8"
  Махеевъ Мягкая Карамель со Сгущенным Молоком,59,"0,34","0,2","13,6",,"10,44","0,28","0,03",,"42,8"
   20 г
  Vicenta Арахисовая Паста с Кусочками Арахиса,410,"35,4",,"8,62","3,45","3,45","14,28",,,
   69 г
  Новый Продукт Хлеб Пшеничный,163,"0,59",,"33,26",,,"5,28",,,
   66 г
 Обед,1110,"32,61","3,382","122,77",0,0,"74,5",154,137,604
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Куриное Филе,261,"2,94","0,782",0,0,0,"54,72",154,137,604
   237 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
 Ужин,1781,"44,52","1,622","235,9","26,15","14,55","106,34",154,137,829
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,261,"2,94","0,782",0,0,0,"54,72",154,137,604
   237 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,108,"0,12","0,12","26,38","3,15","14,52","1,82",,,
   121 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Макфа Греча Ядрица,595,"4,25",,"115,6",17,,"22,1",,,
   170 г
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
 Перекус/Другое,,,,,,,,,,

"четверг, августа 6, 2026",3405,"107,77","0,47","416,88","20,89","13,34","187,35",,,"112,5"
 Завтрак,701,"27,59",,"76,61",,,"34,7",,,
  Моя Цена Сыр Российский Настоящий,326,"26,22",,0,,,"22,54",,,
   92 г
  Новый Продукт Хлеб Пшеничный,375,"1,37",,"76,61",,,"12,16",,,
   152 г
 Обед,1138,"37,01",,"119,85",0,,"76,84",,,
  Село Зелёное Бескостное Мясо Бедра,557,"34,8",,0,0,,"59,16",,,
   348 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
 Ужин,1566,"43,17","0,47","220,42","20,89","13,34","75,81",,,"112,5"
  Lucky Days Зефир со Вкусом Чёрной Смородины,244,0,,63,,,"0,84",,,
   84 г
  Магнит Банан,99,"0,11","0,11","24,2","2,89","13,32","1,66",,,
   111 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,102,"1,8","0,36",18,3,"0,02","3,6",,,
   30 г
  Братья Ореховы Миндаль Сырой,91,"8,06",,"1,95",,,"2,79",,,"112,5"
   15 г
"  Простоквашино Молоко 2,5%",126,"5,75",,"11,27",,0,"7,13",,,
   230 мл
  Село Зелёное Бескостное Мясо Бедра,379,"23,7",,0,0,,"40,29",,,
   237 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
 Перекус/Другое,,,,,,,,,,

"пятница, августа 7, 2026",3261,"89,34","0,84","412,17","24,25","15,03","198,31",,,225
 Завтрак,647,"24,95",,"72,07",,,"31,78",,,
  Моя Цена Сыр Российский Настоящий,294,"23,66",,0,,,"20,34",,,
   83 г
  Новый Продукт Хлеб Пшеничный,353,"1,29",,"72,07",,,"11,44",,,
   143 г
 Обед,1124,"29,56",,"119,85",0,,"90,8",,,
  Рыбпромпродукт Тунец Консервы,125,"1,25",,0,,,"28,75",,,
   125 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Село Зелёное Бескостное Мясо Бедра,418,"26,1",,0,0,,"44,37",,,
   261 г
 Ужин,1490,"34,83","0,84","220,25","24,25","15,03","75,73",,,225
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,111,"0,12","0,12","27,25","3,25",15,"1,88",,,
   125 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Рыбпромпродукт Тунец Консервы,125,"1,25",,0,,,"28,75",,,
   125 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
 Перекус/Другое,,,,,,,,,,

"суббота, августа 8, 2026",3448,"107,38","4,677","415,58","24,02","13,95","195,48",243,217,1182
 Завтрак,786,"35,78",,"73,08",,,"41,24",,,
  Моя Цена Сыр Российский Настоящий,428,"34,48",,0,,,"29,64",,,
   121 г
  Новый Продукт Хлеб Пшеничный,358,"1,3",,"73,08",,,"11,6",,,
   145 г
 Обед,1124,"32,77","3,425","122,77",0,0,"77,5",162,145,638
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Куриное Филе,275,"3,1","0,825",0,0,0,"57,72",162,145,638
   250 г
 Ужин,1538,"38,83","1,252","219,73","24,02","13,95","76,74",81,72,544
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,103,"0,12","0,12","25,29","3,02","13,92","1,74",,,
   116 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Куриное Филе,138,"1,55","0,412",0,0,0,"28,86",81,72,319
   125 г
  Простоквашино Простоквашино Сметана 10%,43,"3,7",,"1,44",,,"1,04",,,
   37 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
 Перекус/Другое,,,,,,,,,,

"воскресенье, августа 9, 2026",3434,"104,06","4,797","425,19","27,27","28,95","191,87",243,217,1182
 Завтрак,661,"32,34",,"55,44",,,"35,75",,,
  Моя Цена Сыр Российский Настоящий,389,"31,35",,0,,,"26,95",,,
   110 г
  Новый Продукт Хлеб Пшеничный,272,"0,99",,"55,44",,,"8,8",,,
   110 г
 Обед,1124,"32,77","3,425","122,77",0,0,"77,5",162,145,638
  Куриное Филе,275,"3,1","0,825",0,0,0,"57,72",162,145,638
   250 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
 Ужин,1649,"38,95","1,372","246,98","27,27","28,95","78,62",81,72,544
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,214,"0,24","0,24","52,54","6,27","28,92","3,62",,,
   241 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
  Куриное Филе,138,"1,55","0,412",0,0,0,"28,86",81,72,319
   125 г
  Простоквашино Простоквашино Сметана 10%,43,"3,7",,"1,44",,,"1,04",,,
   37 г
 Перекус/Другое,,,,,,,,,,

"понедельник, августа 10, 2026",3477,"114,45","4,305","418,55","25,26","19,71","186,5",162,145,863
 Завтрак,648,"26,85",,"67,03",,,"32,69",,,
  Моя Цена Сыр Российский Настоящий,319,"25,65",,0,,,"22,05",,,
   90 г
  Новый Продукт Хлеб Пшеничный,329,"1,2",,"67,03",,,"10,64",,,
   133 г
 Обед,1124,"32,77","3,425","122,77",0,0,"77,5",162,145,638
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Куриное Филе,275,"3,1","0,825",0,0,0,"57,72",162,145,638
   250 г
 Ужин,1705,"54,83","0,88","228,75","25,26","19,71","76,31",,,225
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
  Магнит Банан,146,"0,16","0,16","35,75","4,26","19,68","2,46",,,
   164 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Сарепта Горчичное Масло,180,"19,96",,0,,,0,,,
   20 г
  Рыбпромпродукт Тунец Консервы,125,"1,25",,0,,,"28,75",,,
   125 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
 Перекус/Другое,,,,,,,,,,

"вторник, августа 11, 2026",3378,"110,92","4,698","395,7","24,08","18,87","189,08",240,214,1166
 Завтрак,686,"28,62",,"70,56",,,"34,72",,,
  Моя Цена Сыр Российский Настоящий,340,"27,36",,0,,,"23,52",,,
   96 г
  Новый Продукт Хлеб Пшеничный,346,"1,26",,"70,56",,,"11,2",,,
   140 г
 Обед,1120,"32,72","3,412","122,77",0,0,"76,58",160,143,627
  Куриное Филе,271,"3,05","0,812",0,0,0,"56,8",160,143,627
   246 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
 Ужин,1572,"49,58","1,286","202,37","24,08","18,87","77,78",80,71,539
  Сарепта Горчичное Масло,90,"9,98",,0,,,0,,,
   10 г
  Фругурт Питьевой Йогурт,67,1,,12,,,"2,6",,,
"   100g, 100 г"
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Магнит Банан,140,"0,16","0,16","34,23","4,08","18,84","2,36",,,
   157 г
  Простоквашино Простоквашино Сметана 10%,43,"3,7",,"1,44",,,"1,04",,,
   37 г
  Куриное Филе,135,"1,53","0,406",0,0,0,"28,4",80,71,314
   123 г
  Макфа Греча Ядрица,490,"3,5",,"95,2",14,,"18,2",,,
   140 г
 Перекус/Другое,,,,,,,,,,

"среда, августа 12, 2026",3614,"109,47","4,698","468,22","27,56","46,25","180,29",256,214,"1204,5"
 Завтрак,891,"37,15",0,"111,8","3,5","27,5","25,53",16,,"38,5"
  Махеевъ Джем Клубничный,134,0,0,"33,5",,24,0,16,,"38,5"
   50 г
  Vicenta Арахисовая Паста с Кусочками Арахиса,416,"35,91",,"8,75","3,5","3,5","14,49",,,
   70 г
  Новый Продукт Хлеб Пшеничный,341,"1,24",,"69,55",,,"11,04",,,
   138 г
 Обед,1120,"32,72","3,412","122,77",0,0,"76,58",160,143,627
  Куриное Филе,271,"3,05","0,812",0,0,0,"56,8",160,143,627
   246 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
 Ужин,1603,"39,6","1,286","233,65","24,06","18,75","78,18",80,71,539
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
"  Простоквашино Молоко 2,5%",220,10,,"19,6",,0,"12,4",,,
   400 мл
  Фругурт Питьевой Йогурт,67,1,,12,,,"2,6",,,
"   100g, 100 г"
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,139,"0,16","0,16","34,01","4,06","18,72","2,34",,,
   156 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Макфа Греча Ядрица,490,"3,5",,"95,2",14,,"18,2",,,
   140 г
  Простоквашино Простоквашино Сметана 10%,43,"3,7",,"1,44",,,"1,04",,,
   37 г
  Куриное Филе,135,"1,53","0,406",0,0,0,"28,4",80,71,314
   123 г
 Перекус/Другое,,,,,,,,,,

"четверг, августа 13, 2026",3554,"105,09","4,452","453,95","28,32","38,43","189,69",160,143,852
 Завтрак,883,"27,52","0,16","120,81","4,13","19,08","35,53",,,
  Магнит Сыр по-Российски Классический,330,"26,04",,0,,,"21,39",,,
   93 г
  Магнит Банан,142,"0,16","0,16","34,66","4,13","19,08","2,38",,,
   159 г
  Махеевъ Джем Апельсиновый,48,0,0,"12,06",,,0,,,
   18 г
  Новый Продукт Хлеб Пшеничный,363,"1,32",,"74,09",,,"11,76",,,
   147 г
 Обед,1120,"32,72","3,412","122,77",0,0,"76,58",160,143,627
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,271,"3,05","0,812",0,0,0,"56,8",160,143,627
   246 г
 Ужин,1551,"44,85","0,88","210,37","24,19","19,35","77,58",,,225
  Сарепта Горчичное Масло,90,"9,98",,0,,,0,,,
   10 г
  Фругурт Питьевой Йогурт,134,2,,24,,,"5,2",,,
"   2 x 100g, 200 г"
"  Простоквашино Молоко 2,5%",182,"8,25",,"16,17",,0,"10,23",,,
   330 мл
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,143,"0,16","0,16","35,1","4,19","19,32","2,42",,,
   161 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Рыбпромпродукт Тунец Консервы,125,"1,25",,0,,,"28,75",,,
   125 г
  Макфа Греча Ядрица,490,"3,5",,"95,2",14,,"18,2",,,
   140 г
 Перекус/Другое,,,,,,,,,,

"пятница, августа 14, 2026",3456,"110,79","5,018","401,36","24,77","17,43","202,06",306,274,1429
 Завтрак,469,"25,68",,"33,92",,,"23,06",,,
  Магнит Сыр по-Российски Классический,277,"21,84",,0,,,"17,94",,,
   78 г
  Магнит Батон Горчичный,192,"3,84",,"33,92",,,"5,12",,,
   64 г
 Обед,1109,"32,6","3,379","122,77",0,0,"74,27",153,137,602
  Куриное Филе,260,"2,93","0,779",0,0,0,"54,49",153,137,602
   236 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
 Ужин,1878,"52,51","1,639","244,67","24,77","17,43","104,73",153,137,827
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Фругурт Питьевой Йогурт,134,2,,24,,,"5,2",,,
"   2 x 100g, 200 г"
"  Простоквашино Молоко 2,5%",143,"6,5",,"12,74",,0,"8,06",,,
   260 мл
  Магнит Банан,129,"0,14","0,14","31,61","3,77","17,4","2,18",,,
   145 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Сарепта Горчичное Масло,90,"9,98",,0,,,0,,,
   10 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,260,"2,93","0,779",0,0,0,"54,49",153,137,602
   236 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
 Перекус/Другое,,,,,,,,,,

"суббота, августа 15, 2026",3468,"111,63","4,998","401,14","24,07","14,19","202,99",306,274,1429
 Завтрак,483,"25,54",,"37,63",,,"23,16",,,
  Магнит Сыр по-Российски Классический,270,"21,28",,0,,,"17,48",,,
   76 г
  Магнит Батон Горчичный,213,"4,26",,"37,63",,,"5,68",,,
   71 г
 Обед,1109,"32,6","3,379","122,77",0,0,"74,27",153,137,602
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Куриное Филе,260,"2,93","0,779",0,0,0,"54,49",153,137,602
   236 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
 Ужин,1876,"53,49","1,619","240,74","24,07","14,19","105,56",153,137,827
  Сарепта Горчичное Масло,90,"9,98",,0,,,0,,,
   10 г
  Фругурт Питьевой Йогурт,134,2,,24,,,"5,2",,,
"   2 x 100g, 200 г"
"  Простоквашино Молоко 2,5%",165,"7,5",,"14,7",,0,"9,3",,,
   300 мл
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Магнит Банан,105,"0,12","0,12","25,72","3,07","14,16","1,77",,,
   118 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
  Куриное Филе,260,"2,93","0,779",0,0,0,"54,49",153,137,602
   236 г
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
 Перекус/Другое,,,,,,,,,,

"воскресенье, августа 16, 2026",3290,"106,16","5,018","366,48","22,63","12,15","204,77",314,280,1459
 Завтрак,545,"31,18",,"35,51",,,"27,67",,,
  Магнит Сыр по-Российски Классический,344,"27,16",,0,,,"22,31",,,
   97 г
  Магнит Батон Горчичный,201,"4,02",,"35,51",,,"5,36",,,
   67 г
 Обед,1115,"32,67","3,399","122,77",0,0,"75,66",157,140,617
  Макфа Макароны Спирали,581,"2,21",,"119,85",,,"17,68",,,
   170 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Сарепта Масло Горчичное,180,"19,96","2,6",0,,0,0,,,
   20 г
  Куриное Филе,266,3,"0,799",0,0,0,"55,88",157,140,617
   242 г
 Ужин,1630,"42,31","1,619","208,2","22,63","12,15","101,44",157,140,842
  Lucky Days Зефир со Вкусом Чёрной Смородины,122,0,,"31,5",,,"0,42",,,
   42 г
"  Простоквашино Молоко 2,5%",187,"8,5",,"16,66",,0,"10,54",,,
   340 мл
  Магнит Банан,90,"0,1","0,1","22,02","2,63","12,12","1,52",,,
   101 г
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Ясно Солнышко Хлопья Овсяные Средний Размер #2,204,"3,6","0,72",36,6,"0,03","7,2",,,
   60 г
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,266,3,"0,799",0,0,0,"55,88",157,140,617
   242 г
  Макфа Греча Ядрица,490,"3,5",,"95,2",14,,"18,2",,,
   140 г
 Перекус/Другое,,,,,,,,,,

"понедельник, августа 17, 2026",3443,"105,62","5,038","403,29","23,25","15,03","208,89",314,280,1459
 Завтрак,609,"21,64",,"69,05",,,"32,67",,,
  Магнит Сыр Голландский 45%,271,"20,41",,0,,,"21,71",,,
   81 г
